Date,Day_of_week,Holiday,Moon_Phase,Average_Temp,Max_temp,Average_wind,Max_wind,Average_mslp,Total_precipitation,Holiday_prev,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7
08/09/2018,6,0,5,295.01,299.3,2.56,3.96,101703.64,0.00281,0.0,12.0,14.0,14.0,14.0,20.0,13.0,11.0,12,16.0,21.0,14.0,14.0,17.0,19.0
09/09/2018,7,0,1,295.68,302.16,1.26,3.03,101901.04,0.00012,0.0,12.0,12.0,14.0,14.0,14.0,20.0,13.0,16,21.0,14.0,14.0,17.0,19.0,17.0
10/09/2018,1,0,0,296.24,302.14,2.44,3.57,102190.41,0.00014,0.0,16.0,12.0,12.0,14.0,14.0,14.0,20.0,21,14.0,14.0,17.0,19.0,17.0,19.0
11/09/2018,2,0,1,296.4,303.19,2.36,3.57,102223.68,0.00139,0.0,21.0,16.0,12.0,12.0,14.0,14.0,14.0,14,14.0,17.0,19.0,17.0,19.0,22.0
12/09/2018,3,0,4,297.18,303.88,1.39,2.95,102153.5,1e-05,0.0,14.0,21.0,16.0,12.0,12.0,14.0,14.0,14,17.0,19.0,17.0,19.0,22.0,15.0
13/09/2018,4,0,10,299.03,306.49,1.14,1.8,101790.55,0.0,0.0,14.0,14.0,21.0,16.0,12.0,12.0,14.0,17,19.0,17.0,19.0,22.0,15.0,26.0
14/09/2018,5,0,17,298.79,305.69,1.67,2.79,101689.64,0.00013,0.0,17.0,14.0,14.0,21.0,16.0,12.0,12.0,19,17.0,19.0,22.0,15.0,26.0,18.0
15/09/2018,6,0,25,297.6,303.66,2.26,4.24,101878.94,0.00019,0.0,19.0,17.0,14.0,14.0,21.0,16.0,12.0,17,19.0,22.0,15.0,26.0,18.0,18.0
16/09/2018,7,0,35,297.1,304.5,0.99,1.6,101960.37,0.0,0.0,17.0,19.0,17.0,14.0,14.0,21.0,16.0,19,22.0,15.0,26.0,18.0,18.0,16.0
17/09/2018,1,0,46,296.91,304.45,2.54,4.4,101674.67,0.00428,0.0,19.0,17.0,19.0,17.0,14.0,14.0,21.0,22,15.0,26.0,18.0,18.0,16.0,23.0
