Date,Day_of_week,Holiday,Moon_Phase,Average_wind,Max_temp,Min_temp,Total_precipitation,Average_mslp,Holiday_prev,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7
08-ene-18,1,0,65,3.660580103,283.95142,273.52982,0.945434564,100558.8846,0.0,67.0,31.0,53.0,55.0,39.0,55.0,55.0,58,46.0,52.0,52.0,47.0,53.0,58.0
09-ene-18,2,0,54,3.660580103,280.12708,271.02197,0.422729491,100657.9055,0.0,58.0,67.0,31.0,53.0,55.0,39.0,55.0,46,52.0,52.0,47.0,53.0,58.0,61.0
10-ene-18,3,0,44,2.413482574,280.12708,267.36694,0.155029295,101073.1742,0.0,46.0,58.0,67.0,31.0,53.0,55.0,39.0,52,52.0,47.0,53.0,58.0,61.0,59.0
11-ene-18,4,0,33,2.413482574,280.95078,267.36694,0.091674805,101490.1526,0.0,52.0,46.0,58.0,67.0,31.0,53.0,55.0,52,47.0,53.0,58.0,61.0,59.0,48.0
12-ene-18,5,0,24,2.413482574,280.95078,267.36694,0.135742188,101760.5302,0.0,52.0,52.0,46.0,58.0,67.0,31.0,53.0,47,53.0,58.0,61.0,59.0,48.0,54.0
13-ene-18,6,0,15,1.924291821,281.8734,272.82947,0.109619141,102035.2017,0.0,47.0,52.0,52.0,46.0,58.0,67.0,31.0,53,58.0,61.0,59.0,48.0,54.0,41.0
14-ene-18,7,0,9,2.922158379,281.8734,272.82947,0.134277345,102102.519,0.0,53.0,47.0,52.0,52.0,46.0,58.0,67.0,58,61.0,59.0,48.0,54.0,41.0,80.0
15-ene-18,1,0,4,2.922158379,281.8734,272.9833,0.252807618,102055.2865,0.0,58.0,53.0,47.0,52.0,52.0,46.0,58.0,61,59.0,48.0,54.0,41.0,80.0,51.0
16-ene-18,2,0,1,2.922158379,281.2602,272.9833,0.306274415,102064.669,0.0,61.0,58.0,53.0,47.0,52.0,52.0,46.0,59,48.0,54.0,41.0,80.0,51.0,61.0
17-ene-18,3,0,0,1.936552817,285.92096,274.99008,0.256835937,102243.4599,0.0,59.0,61.0,58.0,53.0,47.0,52.0,52.0,48,54.0,41.0,80.0,51.0,61.0,55.0
18-ene-18,4,0,2,4.102743315,285.92096,275.09998,0.192504883,102497.086,0.0,48.0,59.0,61.0,58.0,53.0,47.0,52.0,54,41.0,80.0,51.0,61.0,55.0,41.0
19-ene-18,5,0,5,4.102743315,285.92096,272.66663,0.136230468,102507.4803,0.0,54.0,48.0,59.0,61.0,58.0,53.0,47.0,41,80.0,51.0,61.0,55.0,41.0,43.0
20-ene-18,6,0,11,4.102743315,284.69025,272.66663,0.131103516,102495.0066,0.0,41.0,54.0,48.0,59.0,61.0,58.0,53.0,80,51.0,61.0,55.0,41.0,43.0,41.0
21-ene-18,7,0,19,2.688803884,284.69025,272.66663,0.150756836,102399.1799,0.0,80.0,41.0,54.0,48.0,59.0,61.0,58.0,51,61.0,55.0,41.0,43.0,41.0,50.0
22-ene-18,1,0,28,3.585339087,285.71802,276.79498,0.259277345,102474.6989,0.0,51.0,80.0,41.0,54.0,48.0,59.0,61.0,61,55.0,41.0,43.0,41.0,50.0,59.0
23-ene-18,2,0,38,3.585339087,286.13733,276.79498,0.239257814,102647.204,0.0,61.0,51.0,80.0,41.0,54.0,48.0,59.0,55,41.0,43.0,41.0,50.0,59.0,61.0
24-ene-18,3,0,48,3.585339087,286.5152,279.0518,0.127441408,102820.6085,0.0,55.0,61.0,51.0,80.0,41.0,54.0,48.0,41,43.0,41.0,50.0,59.0,61.0,54.0
25-ene-18,4,0,59,2.372239835,286.5152,275.30957,0.018554688,102780.3585,0.0,41.0,55.0,61.0,51.0,80.0,41.0,54.0,43,41.0,50.0,59.0,61.0,54.0,49.0
26-ene-18,5,0,69,2.317553158,286.5152,275.30957,0.462280267,102488.9087,0.0,43.0,41.0,55.0,61.0,51.0,80.0,41.0,41,50.0,59.0,61.0,54.0,49.0,37.0
27-ene-18,6,0,78,4.72745836,286.0846,275.30957,0.515747065,102286.1327,0.0,41.0,43.0,41.0,55.0,61.0,51.0,80.0,50,59.0,61.0,54.0,49.0,37.0,53.0
28-ene-18,7,0,86,4.72745836,280.78912,273.63336,0.530029291,102500.2883,0.0,50.0,41.0,43.0,41.0,55.0,61.0,51.0,59,61.0,54.0,49.0,37.0,53.0,64.0
29-ene-18,1,0,93,4.72745836,284.53693,272.17966,0.07385254,103126.7997,0.0,59.0,50.0,41.0,43.0,41.0,55.0,61.0,61,54.0,49.0,37.0,53.0,64.0,55.0
30-ene-18,2,0,97,4.549186137,285.66656,272.17966,0.014282227,103537.0881,0.0,61.0,59.0,50.0,41.0,43.0,41.0,55.0,54,49.0,37.0,53.0,64.0,55.0,51.0
31-ene-18,3,0,100,1.661866956,285.66656,272.17966,0.000244141,103478.8335,0.0,54.0,61.0,59.0,50.0,41.0,43.0,41.0,49,37.0,53.0,64.0,55.0,51.0,59.0
